row,source,source_id,listing_id,url,title,description_excerpt,pred_has_water,truth_has_water,pred_has_power,truth_has_power,pred_has_paved_access,truth_has_paved_access,pred_is_flat,truth_is_flat,pred_has_ocean_view,truth_has_ocean_view,pred_has_mountain_view,truth_has_mountain_view,pred_has_water_body,truth_has_water_body,pred_is_beachfront_text,truth_is_beachfront_text,pred_land_type,truth_land_type,labeler_notes
35,remax,002472129080,remax|002472129080,https://www.remax-elsalvador.com/002472129080,"Land for sale in F1. La Ceiba Subdivision, Nueva Concepción, Chalatenango",,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
36,remax,002472155036,remax|002472155036,https://www.remax-elsalvador.com/002472155036,"LAND FOR SALE WITH SMALL HOUSE IN JIQUILISCO, USULUTAN",,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
37,remax,003093331030,remax|003093331030,https://www.remax-elsalvador.com/003093331030,"NEJAPA, LAND FOR SALE. 5 MANZANAS, 2 KM FROM COCA-COLA WAREHOUSES",,0,,0,,0,,0,,0,,0,,0,,0,,raw,,
38,remax,001461165123,remax|001461165123,https://www.remax-elsalvador.com/001461165123,Lots for sale in Chalatenango,"Spectacular land for sale: from 4.3 acres lots this property in Chalatenango, features pine forests and the characteristic cold weather of cerro El Pital, with beautiful views of Las Pilas and the surrounding mountains.The land is suitable for various uses, including: fruits, vegetables, and high-altitude flowers crops; residential development; glamping; and cabins construction. The property inclu",0,,1,,0,,0,,0,,0,,0,,0,,residential,,
39,bienesraices,1899,bienesraices|1899,https://bienesraicesenelsalvador.com/propiedad/terreno-en-venta-en-el-encanto-residential-country-club-en-san-jose-villanueva-1899,Terreno en venta en El Encanto Residential Country Club en San Jose Villanueva,"EL ENCANTO RESIDENTIAL COUNTRY CLUB  Dentro del complejo residencial, está El Encanto Country Club, construido sobre una superficie de más de 76,000 V2, centro de actividad social de los miembros y residentes del condominio, que disfrutan de restaurantes, bar, áreas de recepciones, 4 canchas de tenis, piscina semi-olímpica, piscina infinity y piscina para niños, y un campo de golf de 18 hoyos cate",0,,0,,0,,0,,0,,0,,0,,0,,residential,,
40,bienesraices,1598,bienesraices|1598,https://bienesraicesenelsalvador.com/propiedad/en-venta-lotes-rusticos-en-colonia-providencia-no-pierda-esta-oportunidad-1598,En Venta Lotes Rústicos en Colonia Providencia - ¡No Pierda Esta Oportunidad!,"Venta de Terreno en Colonia Providencia  Descripción: Se venden dos lotes rústicos de 193 varas cada uno, ubicados al final de la Colonia Providencia, contiguo a la Urbanización La Gloria.  Características:  - Topografía: Plana - Infraestructura: Muro de contención - Servicios: Cometida de agua y luz - Acceso: Buen acceso para vehículos sedan - Documentación: Una sola escritura, se hará desmembrac",1,,1,,0,,0,,0,,0,,0,,0,,raw,,
41,bienesraices,1586,bienesraices|1586,https://bienesraicesenelsalvador.com/propiedad/inversion-en-santa-ana-ciudad-real-terreno-de-11-manzanas-en-venta-308000-1586,"Inversión en Santa Ana, Ciudad Real: Terreno de 11 Manzanas en Venta $308,000","Terreno en Venta en Santa Ana, Ciudad Real  Precio: $28,000 por manzana  Superficie Total: 11 manzanas  Descubre una excelente oportunidad de inversión en Santa Ana, Ciudad Real. Este amplio terreno de 11 manzanas está disponible a un precio competitivo de $28,000 por manzana. Ideal para desarrollos residenciales, agrícolas o comerciales, este terreno ofrece un sinfín de posibilidades para el inve",0,,0,,0,,0,,0,,0,,0,,0,,agricultural,,
42,remax,002874232007,remax|002874232007,https://www.remax-elsalvador.com/002874232007,"COMMERCIAL LOT IN SANTA JULIA COUNTY, COSTA DEL SOL",,0,,0,,0,,0,,0,,0,,0,,0,,commercial,,
43,bienesraices,1876,bienesraices|1876,https://bienesraicesenelsalvador.com/propiedad/terreno-playa-la-libertad-chilama-13000vr2-vista-al-obispo-by-pass-fp010-1876,"TERRENO PLAYA LA LIBERTAD CHILAMA 13,000vr2 VISTA AL OBISPO BY PASS  **fp010","TERRENO PLAYA LA LIBERTAD CHILAMA 13,000vr2 VISTA AL OBISPO BY PASS SURF CITY 1  PRECIO VENTA : $975,000 Negociables  Precio por vara: $75 xv2   Área Terreno 9086 mt2 = 13,000 vr2 ( Aproximadamente ) Espectacular vista al mar Zona Puente Chilama justo antes del Bypass..  APTO PARA : Hotel o Resort Restaurante Bodegas Gasolineras Permisos no hay solo venden terreno rustico  Atte Carlos Puente (503)",0,,0,,0,,0,,1,,0,,0,,0,,raw,,
44,remax,003094070005,remax|003094070005,https://www.remax-elsalvador.com/003094070005,Land for Sale on the Litoral Highway Near Costa del Sol | 822 m² Flat | Residential or Commercial Use,,0,,0,,0,,1,,0,,0,,0,,0,,commercial,,
45,bienesraices,1901,bienesraices|1901,https://bienesraicesenelsalvador.com/propiedad/terrenos-en-venta-carretera-al-boqueron-cerca-de-cajamarca-1901,Terrenos en venta carretera al Boqueron cerca de Cajamarca,"La propiedad esta constituida por 3 porciones: - 4,243.84 Vrs2 - 4,944.74 Vrs2 - 4,953.54 Vrs2 Total de Vrs2: 14,142.12 Precio por Vrs2: $50 negociables",0,,0,,0,,0,,0,,0,,0,,0,,raw,,
46,bienesraices,2316,bienesraices|2316,https://bienesraicesenelsalvador.com/propiedad/terreno-comercial-de-6977-v2-en-santa-ana-a-200m-de-las-ramblas-100-plano-2316,"Terreno Comercial de 6,977 v² en Santa Ana | A 200m de Las Ramblas | 100% Plano","Ubicación Estratégica en el Nuevo Corazón Comercial de Santa Ana  🏗️🛍️  Presentamos una propiedad inmobiliaria de primer nivel, situada en la zona de mayor crecimiento y dinamismo económico de  Santa Ana . Este terreno se encuentra estratégicamente ubicado a solo  200 metros del Centro Comercial Las Ramblas , garantizando una exposición comercial inmejorable y acceso directo desde la calle princip",1,,1,,0,,1,,0,,0,,0,,0,,commercial,,
47,goodlife,apartments-in-el-zonte,goodlife|apartments-in-el-zonte,https://goodlifeelsalvador.com/property-item/apartments-in-el-zonte/,Cliffside apartments in El Zonte,"Unique opportunity in El Zonte, amazing apartments complex, just 5 minutes away from K59 and downtown El Zonte, ocean front location with breathtaking ocean view, perfect for vacation home or investment opportunity.",0,,0,,0,,0,,1,,0,,0,,1,,recreational,,
48,bienesraices,1507,bienesraices|1507,https://bienesraicesenelsalvador.com/propiedad/terreno-residencial-los-suenos-2332vr2-mr040-1507,TERRENO RESIDENCIAL LOS SUEÑOS 2332vr2 mr040,"TERRENO RESIDENCIAL LOS SUEÑOS 2332vr2   Ofrezco terreno en Los Sueños !!! Área total del terreno 2,332.46 V2 Precio  de venta $285 X V2  Atte Carlos Alberto Puente Cea (503) 7851-3928 WhatsApp puentecea@hotmail.com www.bienesraicesenelsalvador.com 11/01/2025 +0 3%",0,,0,,0,,0,,0,,0,,0,,0,,residential,,
49,bienesraices,2339,bienesraices|2339,https://bienesraicesenelsalvador.com/propiedad/venta-de-terreno-de-5000-v2-en-san-salvador-ideal-para-quinta-o-uso-agricola-2339,"Venta de Terreno de 5,000 v² en San Salvador  Ideal para Quinta o Uso Agrícola","Naturaleza y Potencial cerca de la Ciudad   Se vende amplio terreno de  5,000 varas cuadradas  ubicado estratégicamente con acceso desde la calle que conecta Soyapango con Tonacatepeque. Esta propiedad es el lienzo ideal para quienes buscan desarrollar una casa de campo, una quinta de retiro o emprender un proyecto agrícola, todo esto a pocos minutos del dinamismo de San Salvador.   Característica",1,,1,,0,,0,,0,,0,,0,,0,,agricultural,,
50,goodlife,lots-available-at-las-luces-community,goodlife|lots-available-at-las-luces-community,https://goodlifeelsalvador.com/property-item/lots-available-at-las-luces-community/,Las Luces Gated Community (Lots Available in the 6th Phase),"Residencial Las Luces is perfect for those who are looking to live in a middle ground between the urban side of La Libertad and the coastal side. Las Luces is one of the finest residential areas in La Libertad, situated approximately 10 minutes away from El Tunco beach. It boasts amenities such as parks, tennis courts, gyms, nature trails, and a clubhouse with an event hall. This is the ideal plac",0,,0,,0,,0,,0,,0,,0,,0,,residential,,
